Order Number,Pickup Point ID,SLS Tracking Number,3PL Tracking Number,Seller Name,Seller Phone,Create Time,Status,Shopee Order SN,Buyer Sort Code,Pickup Time,Pickup Driver,DC Receive Time,Assigned Time,Bulky Type,PickUp TaskNumber,Shop ID/DOP ID,ETA,pickup attempts,seller’s fault times,update history,Seller Sort Code,Seller Zipcode,State,City,Neighbor,Seller Address
BR256435656817X,1013926078_002,BR256435656817X,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Carrão,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:35,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2527951365080,1013926078_002,BR2527951365080,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Formosa,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR257927644541T,1013926078_002,BR257927644541T,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Maria Rosa,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2511727861261,1013926078_002,BR2511727861261,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Maria Estela,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2586518419806,1013926078_002,BR2586518419806,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Brooklin Paulista,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR251388232421Q,1013926078_002,BR251388232421Q,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Mooca,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR254079018071P,1013926078_002,BR254079018071P,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Paulicéia,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:35,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2598024605645,1013926078_002,BR2598024605645,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Panorama,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2512458418856,1013926078_002,BR2512458418856,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Independência,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR253551197843Q,1013926078_002,BR253551197843Q,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Parque Boturussu,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:35,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR253021491178E,1013926078_002,BR253021491178E,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Novo Osasco,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR258930633763X,1013926078_002,BR258930633763X,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Planalto,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR259052268925T,1013926078_002,BR259052268925T,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Elzinha,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR256657826370V,1013926078_002,BR256657826370V,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Vermelhão,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
